title,location,price,sqft,price_per_sqft
2 BHK Apartment for Sale in Triplicane Chennai,Triplicane Chennai,10600000,710,14929
2 BHK Apartment for Sale in Madambakkam Chennai,Madambakkam Chennai,5000000,1054,4743
3 BHK Apartment for Sale in Adambakkam Chennai,Adambakkam Chennai,16200000,619,26171
2 BHK Apartment for Sale in Guindy Chennai,Guindy Chennai,41800000,1904,21953
3 BHK Apartment for Sale in Padur Chennai,Padur Chennai,9000000,1474,6105
3 BHK Villa for Sale in Kolathur Chennai,Kolathur Chennai,18000000,2000,9000
3 BHK Villa for Sale in S Kolathur Chennai,S Kolathur Chennai,25000000,2100,11904
2 BHK Builder Floor for Sale in Uthandi Chennai,Uthandi Chennai,9000000,920,9782
3 BHK Apartment for Sale in Grand Southern Trunk Road Chennai,Grand Southern Trunk Road Chennai,15500000,1255,12350
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,11200000,1450,7724
2 BHK Apartment for Sale in Indira Nagar Manapakkam Chennai,Indira Nagar Manapakkam Chennai,9400000,1016,9251
3 BHK Apartment for Sale in Pallavaram Chennai,Pallavaram Chennai,10500000,1336,7859
3 BHK Apartment for Sale in Madambakkam Chennai,Madambakkam Chennai,6500000,1240,5241
3 BHK Villa for Sale in Kelambakkam Chennai,Kelambakkam Chennai,15000000,1900,7894
2 BHK Apartment for Sale in Radha Nagar Chromepet Chennai,Radha Nagar Chromepet Chennai,4500000,687,6550
2 BHK  House for Sale in Karasangal Chennai,Karasangal Chennai,6500000,1050,6190
2 BHK  House for Sale in Sendur Puram Chennai,Sendur Puram Chennai,5300000,850,6235
2 BHK Apartment for Sale in Valmiki Nagar Chennai,Valmiki Nagar Chennai,12800000,1000,12800
3 BHK  House for Sale in Kolapakkam Chennai,Kolapakkam Chennai,15000000,2435,6160
3 BHK Apartment for Sale in Navalur Chennai,Navalur Chennai,13000000,1646,7897
2 BHK Apartment for Sale in Urapakkam Chennai,Urapakkam Chennai,5000000,643,7776
2 BHK Apartment for Sale in Velachery Chennai,Velachery Chennai,9500000,1080,8796
"3 BHK Apartment for Sale in S.i.s Marakesh, Urapakkam, Chennai,S.i.s Marakesh, Urapakkam, Chennai Chennai","S.i.s Marakesh, Urapakkam, Chennai,S.i.s Marakesh, Urapakkam, Chennai Chennai",8000000,1370,5839
2 BHK Apartment for Sale in Melakottaiyur Chennai,Melakottaiyur Chennai,4000000,650,6153
2 BHK Apartment for Sale in Gerugambakkam Chennai,Gerugambakkam Chennai,5200000,978,5316
2 BHK Apartment for Sale in klp utsav Chennai,klp utsav Chennai,7000000,580,12068
2 BHK  House for Sale in Thiruninravur Chennai,Thiruninravur Chennai,14000000,1600,8750
2 BHK Builder Floor for Sale in Rajaji Nagar Villivakkam Chennai,Rajaji Nagar Villivakkam Chennai,5300000,706,7507
2 BHK Apartment for Sale in Maduravoyal Chennai,Maduravoyal Chennai,6500000,915,7103
2 BHK Apartment for Sale in Kotturpuram Chennai,Kotturpuram Chennai,16500000,1247,13231
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,13500000,1625,8307
3 BHK  House for Sale in Ayyapakkam Chennai,Ayyapakkam Chennai,12000000,640,18750
2 BHK Apartment for Sale in Neelankarai Chennai,Neelankarai Chennai,11000000,1086,10128
2 BHK Apartment for Sale in Perungalathur Chennai,Perungalathur Chennai,3500000,620,5645
3 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,12500000,1491,8383
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5500000,500,11000
2 BHK Apartment for Sale in Maraimalai Nagar Chennai,Maraimalai Nagar Chennai,7000000,1076,6505
2 BHK Apartment for Sale in Perambur Chennai,Perambur Chennai,6400000,600,10666
2 BHK Apartment for Sale in Navalur Chennai,Navalur Chennai,6000000,762,7874
3 BHK  House for Sale in Poonamallee High Road Chennai,Poonamallee High Road Chennai,20000000,550,36363
3 BHK Apartment for Sale in Ram Nagar Madipakkam Chennai,Ram Nagar Madipakkam Chennai,11000000,1500,7333
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,7200000,700,10285
3 BHK Apartment for Sale in Tambaram Chennai,Tambaram Chennai,7500000,1193,6286
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,6800000,800,8500
2 BHK Apartment for Sale in Kolathur Chennai,Kolathur Chennai,6950000,899,7730
2 BHK Apartment for Sale in Selaiyur Chennai,Selaiyur Chennai,5000000,785,6369
3 BHK Apartment for Sale in Madipakkam Chennai,Madipakkam Chennai,12500000,1203,10390
3 BHK Apartment for Sale in Tiruvottiyur Chennai,Tiruvottiyur Chennai,15500000,1624,9544
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,12000000,1460,8219
3 BHK Apartment for Sale in Madhanandapuram Chennai,Madhanandapuram Chennai,11600000,1532,7571
3 BHK Apartment for Sale in West Mambalam Chennai,West Mambalam Chennai,19600000,930,21075
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7700000,1300,5923
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,12400000,1492,8310
3 BHK Apartment for Sale in Nerkundram Chennai,Nerkundram Chennai,18000000,1234,14586
2 BHK Apartment for Sale in Singaperumal Koil Chennai,Singaperumal Koil Chennai,3140000,670,4686
2 BHK Villa for Sale in Potheri Chennai,Potheri Chennai,7500000,810,9259
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,11500000,1146,10034
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,10000000,112,89285
2 BHK Apartment for Sale in Thaiyur Chennai,Thaiyur Chennai,4500000,609,7389
2 BHK Apartment for Sale in Poonamallee Chennai,Poonamallee Chennai,4000000,905,4419
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,8300000,876,9474
3 BHK Villa for Sale in Guduvancherry Chennai,Guduvancherry Chennai,10900000,1710,6374
"2 BHK Villa for Sale in Redhills, Chennai Chennai","Redhills, Chennai Chennai",2500000,600,4166
2 BHK  House for Sale in Kolathur Chennai,Kolathur Chennai,5000000,787,6353
2 BHK Apartment for Sale in The Marvel Tower Indira Nagar Adyar Chennai,The Marvel Tower Indira Nagar Adyar Chennai,18900000,1200,15750
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,8000000,987,8105
2 BHK Apartment for Sale in Valasaravakkam Chennai,Valasaravakkam Chennai,7200000,1078,6679
2 BHK Apartment for Sale in Kelambakkam Chennai,Kelambakkam Chennai,5800000,950,6105
2 BHK Apartment for Sale in Kolathur Chennai,Kolathur Chennai,4900000,790,6202
2 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,10500000,927,11326
2 BHK Builder Floor for Sale in Chengalpattu Chennai,Chengalpattu Chennai,3200000,800,4000
2 BHK Apartment for Sale in Ambattur Chennai,Ambattur Chennai,4000000,414,9661
2 BHK Apartment for Sale in Perungalathur Chennai,Perungalathur Chennai,6200000,783,7918
3 BHK Builder Floor for Sale in Kamaraj Nagar Thiruvanmiyur Chennai,Kamaraj Nagar Thiruvanmiyur Chennai,19500000,1420,13732
