title,location,price,sqft,price_per_sqft,lat,lon
3 BHK Apartment for Sale in Mugalivakkam Chennai,Mugalivakkam Chennai,9400000,1275,7372,13.0142333,80.1561762
2 BHK Apartment for Sale in Oragadam Chennai,Oragadam Chennai,3300000,792,4166,12.926285,80.1978774
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,5500000,591,9306,12.9743085,80.1923059
2 BHK Apartment for Sale in Chromepet Chennai,Chromepet Chennai,4000000,928,4310,12.9575007,80.1435066
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,3800000,1012,3754,12.9877311,80.2493865
3 BHK Apartment for Sale in Chembarambakkam Chennai,Chembarambakkam Chennai,9000000,1427,6306,13.016769,80.1367942
2 BHK Apartment for Sale in Chitlapakkam Chennai,Chitlapakkam Chennai,4000000,750,5333,12.9303475,80.1324472
3 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,9900000,1250,7920,13.0734496,80.1948363
2 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,11000000,1073,10251,13.0734496,80.1948363
2 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,17500000,1350,12962,12.9840501,80.2523098
3 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,7020000,1510,4649,12.8439997,80.0603546
3 BHK Villa for Sale in Mambakkam Chennai,Mambakkam Chennai,16500000,2446,6745,12.8429461,80.15541
2 BHK Apartment for Sale in Kovilambakkam Chennai,Kovilambakkam Chennai,6300000,710,8873,12.9392427,80.1825888
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,4800000,830,5783,12.926285,80.1978774
3 BHK Apartment for Sale in LIC Colony Velachery Chennai,LIC Colony Velachery Chennai,14000000,1000,14000,12.9775294,80.2219514
2 BHK Builder Floor for Sale in Velachery Chennai,Velachery Chennai,8200000,817,10036,13.0105862,80.2232935
2 BHK Builder Floor for Sale in Virugambakkam Chennai,Virugambakkam Chennai,5500000,795,6918,13.038104,80.1890642
2 BHK Builder Floor for Sale in Pozhichalur Chennai,Pozhichalur Chennai,6100000,740,8243,12.9905297,80.1440498
3 BHK Builder Floor for Sale in Sholinganallur Chennai,Sholinganallur Chennai,10000000,1418,7052,12.9825181,80.252674
3 BHK Apartment for Sale in Kilpauk Chennai,Kilpauk Chennai,16399999,1010,16237,13.0806801,80.2486159
2 BHK Apartment for Sale in Porur Chennai,Porur Chennai,7500000,603,12437,13.0320131,80.158304
3 BHK Apartment for Sale in Kovur Chennai,Kovur Chennai,12000000,1348,8902,13.0120798,80.1306728
3 BHK Apartment for Sale in Sithalapakkam Chennai,Sithalapakkam Chennai,8000000,1090,7339,12.8933822,80.183427
2 BHK Apartment for Sale in Anna Nagar West Chennai,Anna Nagar West Chennai,18500000,1355,13653,13.0896987,80.1877418
2 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,15000000,900,16666,12.9840501,80.2523098
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,10500000,1300,8076,12.9050095,80.1968629
3 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,17500000,1200,14583,13.0147531,80.1744935
3 BHK Villa for Sale in Rajiv Nagar Perungudi Chennai,Rajiv Nagar Perungudi Chennai,17500000,1900,9210,12.9787088,80.2525443
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5000000,937,5336,12.9050095,80.1968629
2 BHK Apartment for Sale in Avadi Chennai,Avadi Chennai,7000000,862,8120,13.0142534,80.1905788
3 BHK Apartment for Sale in Kallikuppam Chennai,Kallikuppam Chennai,11900000,1385,8592,13.13207,80.1717346
3 BHK Villa for Sale in Thiruverkadu Chennai,Thiruverkadu Chennai,15500000,1800,8611,13.0983878,80.1349581
2 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,11500000,1205,9543,13.0147531,80.1744935
2 BHK Apartment for Sale in KK Nagar Chennai,KK Nagar Chennai,6400000,700,9142,13.0386493,80.2052158
2 BHK  House for Sale in Avadi Chennai,Avadi Chennai,15000000,1043,14381,13.0142534,80.1905788
